4348,4399,4505,4478,4471,4538,4541,4549,4547,4545,4541,4470,4469,4508,4505,4399,4348,4399,4508,4469,4471,4538,4545,4549,4549,4545,4541,4471,4469,4508,4430,4348,4399,4430,4508,4469,4471,4541,4545,4547,4549,4545,4538,4471,4469,4505,4399,4348,4399,4505,4508,4471,4538,4541,4549,4547,4549,4541,4538,4472,4508,4505,4399,4348,4399,4505,4472,4474,4538,4545,4549,4547,4545,4541,4471,4469,4508,4430,4399,0.1
5677,5857,5977,6095,6222,6359,6355,6357,6359,6354,6355,6352,6222,6095,5936,5790,5790,5855,5977,6099,6345,6352,6355,6357,6356,6355,6352,6345,6226,5977,5933,5790,5790,5933,5969,6226,6352,6355,6355,6356,6357,6355,6359,6222,6095,5977,5857,5681,5857,5936,6095,6222,6359,6355,6354,6359,6354,6355,6279,6224,6095,5895,5815,5681,5815,6016,6095,6224,6279,6355,6357,6356,6355,6355,6352,6226,5969,5933,5790,0.2
7872,8288,8402,8874,8892,9249,9321,9306,9310,9336,9275,9140,8908,8772,8392,8109,7927,8361,8687,8899,9141,9274,9337,9315,9315,9332,9270,9136,8895,8687,8346,7927,8109,8346,8772,8903,9136,9270,9336,9310,9323,9337,9274,9141,8899,8692,8289,7928,8288,8392,8747,8892,9249,9321,9306,9311,9306,9337,9269,8906,8810,8392,8147,7989,8289,8747,8957,9082,9269,9337,9323,9310,9332,9270,9136,8903,8772,8346,8109,0.3
10876,11699,11903,12472,13034,13199,13522,13536,13775,13522,13212,13189,13027,12478,11884,11619,11145,11662,12210,12953,12964,13208,13529,13516,13786,13532,13208,12974,12956,12224,11648,11147,11147,11884,12478,12953,13189,13222,13529,13786,13520,13522,13196,12974,12472,12217,11718,10876,11630,11906,12486,13020,13196,13222,13522,13780,13522,13222,13197,13020,12489,11909,11540,11148,11641,12213,12475,12964,13215,13529,13520,13786,13529,13222,12960,12956,12488,11884,11147,0.4
14428,15565,16282,17195,17709,18421,18221,18610,18830,18622,18214,17914,17502,16985,16070,14949,14639,15674,16796,17195,17702,18421,18617,18823,18822,18610,18214,17926,17299,16589,15870,15145,14958,15870,16582,17306,17914,18226,18610,18826,18834,18610,18428,17702,17207,16282,15567,14639,15345,16082,16978,17509,18428,18214,18610,18828,18709,18212,18427,17599,17077,16082,15443,14639,15567,16793,17208,17702,18427,18709,18834,18826,18610,18226,17914,17299,16582,15870,14958,0.5
18957,20542,21766,22871,23725,24093,24823,25060,25054,24819,24809,24079,23474,22494,21156,19817,19457,20909,21765,22867,23717,24446,24819,25053,25053,24823,24450,23717,23105,22131,20915,19455,19696,21149,22127,23101,23717,24809,24819,25055,25053,24826,24453,23718,22874,21759,20542,19310,20182,21536,22864,23481,24086,24816,24833,25057,24830,24696,24084,23479,22501,21535,20180,19310,20665,21765,22867,23716,24453,24823,25053,25052,24819,24809,23721,23101,22127,20915,19693,0.6
24432,26453,27874,29568,30835,31266,32134,32402,32391,32280,32138,31284,30130,29012,27595,25596,24989,26714,28538,29841,30996,31845,32281,32413,32387,32276,31829,30997,29866,28724,26747,25328,25481,27296,29007,30009,31268,31840,32280,32404,32418,32281,31291,30810,29572,27869,26448,24567,26273,27721,29020,30141,31291,32138,32413,32392,32276,32108,31289,30146,29144,27721,26270,24567,26739,28014,29572,30949,31285,32281,32418,32404,32280,31845,31268,30009,28720,27296,25481,0.7
30716,33340,35276,37546,39032,39994,40486,41610,41610,41120,40482,40138,38514,36434,34947,32208,31227,33846,35926,37861,39023,39998,41106,41610,41624,41116,40467,39970,37868,36440,33836,32179,32222,34940,36431,37887,39974,40460,41106,41604,41620,40486,39991,39025,37396,35302,33337,31225,32703,35279,37378,38518,40131,40472,41624,41604,41614,40479,39804,38518,37218,34812,32683,31225,33834,35302,37407,39023,39985,41120,41620,41608,41113,40453,39984,37887,36431,34800,32339,0.8
37308,40602,43142,45701,47694,48966,49878,50978,50970,50594,50252,48606,47340,45147,42419,39514,38238,41142,44428,46066,48059,49350,50594,50971,50971,50594,50245,48250,46426,44054,41858,38944,39325,42242,44782,47340,48606,50252,50606,50966,50971,49878,49338,48059,45694,43521,41509,37679,40230,42794,45338,46966,48973,49878,50971,50972,50978,49881,48966,46969,45335,42971,40047,38403,41327,43521,46054,48059,49338,49888,50971,50967,50594,50252,48243,47340,44782,42242,39325,0.9
45037,48669,52514,55133,57961,59395,61193,61601,61599,61217,60590,58982,56758,54729,51507,48265,46253,49685,52917,56143,58372,59987,61203,61611,61597,61207,59983,58379,56149,53526,50287,46457,47662,51497,54133,56751,58978,60604,61203,61597,61597,61207,59381,57975,55760,52911,49693,45630,48275,51915,54743,57365,59382,61197,61597,61601,61597,60797,59170,57365,54747,51915,48279,45857,49693,52915,55760,57971,59381,60807,61597,61597,61203,60604,58978,56149,54140,50894,47055,1.0
